1, 0
2, 1
1, 2
2, 3
2, 4
3, 5
4, 4
3, 3
4, 2
5, 3
6, 4
6, 5
5, 4
4, 5
4, 4
4, 3
3, 2
4, 3
5, 4
6, 5
5, 6
5, 7
4, 8
4, 9
4, 10
4, 11
4, 12
4, 13
3, 14
3, 13
4, 12
4, 11
5, 10
6, 9
5, 10
4, 10
5, 9
4, 9
3, 9
2, 8
3, 8
4, 9
5, 10
6, 11
7, 12
7, 13
6, 14
5, 13
4, 13
5, 12
4, 11
3, 12
3, 13
2, 14
1, 14
0, 13
0, 12
1, 13
2, 14
2, 15
2, 16
3, 17
4, 18
4, 17
3, 18
2, 18
3, 18
4, 17
4, 16
5, 15
5, 14
5, 13
5, 14
4, 15
4, 16
5, 16
6, 16
5, 17
5, 18
4, 19
4, 20
5, 21
6, 20
7, 20
8, 19
8, 20
7, 21
6, 21
5, 20
4, 19
3, 19
4, 20
5, 19
5, 18
5, 17
6, 16
7, 17
8, 16
9, 16
10, 15
9, 14
8, 14
7, 13
7, 12
8, 13
9, 13
10, 12
10, 11
9, 10
8, 10
7, 9
6, 10
5, 11
4, 12
4, 13
5, 14
6, 14
7, 14
6, 14
7, 14
8, 15
7, 16
6, 16
5, 15
6, 14
7, 13
8, 13
9, 13
10, 14
10, 15
9, 14
10, 13
9, 14
9, 15
9, 16
10, 17
10, 18
10, 19
11, 19
12, 18
11, 17
10, 16
9, 15
8, 15
7, 16
7, 17
6, 16
5, 16
4, 15
3, 15
2, 14
1, 13
2, 13
3, 14
4, 14
5, 14
4, 14
3, 13
2, 13
1, 13
2, 14
2, 15
2, 14
1, 13
0, 13
-1, 14
-1, 15
-1, 16
0, 16
0, 17
0, 18
0, 19
0, 18
0, 17
-1, 16
-2, 16
-3, 16
-4, 17
-4, 18
-4, 19
-4, 20
-4, 21
-3, 22
-3, 23
-3, 24
-3, 25
-2, 25
-3, 25
-4, 25
-5, 26
-6, 25
-7, 25
-8, 24
-8, 23
-8, 22
-7, 21
-6, 21
-5, 21
-4, 22
-3, 22
-2, 22
-1, 23
0, 23
1, 23
2, 23
3, 22
3, 21
3, 20
3, 19
3, 18
3, 19
3, 20
2, 21
1, 21
2, 22
2, 23
2, 24
1, 25
0, 24
0, 23
0, 22
0, 23
0, 22
0, 21
-1, 20
-2, 20
-1, 20
0, 20
-1, 20
-2, 20
-3, 19
-4, 18
-4, 17
-4, 16
-4, 15
-4, 16
-4, 17
-3, 18
-2, 18
-1, 18
0, 17
0, 16
0, 15
1, 14
2, 13
2, 12
2, 11
3, 10
3, 9
3, 8
4, 7
5, 7
6, 6
6, 5
6, 4
7, 3
8, 3
9, 3
10, 2
9, 1
9, 0
9, -1
9, 0
9, 1
8, 2
9, 3
9, 2
10, 1
11, 1
11, 2
12, 3
13, 3
14, 3
15, 4
16, 4
17, 4
18, 4
17, 3
17, 2
17, 1
18, 2
19, 2
20, 2
21, 1
21, 2
21, 3
22, 2
21, 1
20, 1
19, 2
20, 3
19, 2
18, 2
18, 1
19, 0
20, 0
21, 0
22, 1
22, 2
21, 1
22, 0
23, 0
22, 1
22, 2
22, 3
22, 2
22, 1
21, 0
21, -1
21, -2
20, -2
21, -2
22, -2
21, -2
20, -2
19, -2
18, -1
18, -2
18, -3
18, -4
17, -5
16, -6
16, -7
16, -6
15, -5
15, -6
15, -7
