0, 0, 1
0, 1, 1
0, 2, 1
0, 3, 1
0, 4, 1
0, 5, 1
0, 6, 1
0, 7, 1
0, 8, 1
0, 9, 1
0, 10, 1
0, 11, 1
0, 12, 1
0, 13, 1
0, 14, 1
0, 15, 1
0, 16, 1
0, 17, 1
0, 18, 1
0, 19, 1
0, 20, 0
0, 21, 1
0, 22, 1
0, 23, 1
0, 24, 1
0, 25, 1
0, 26, 1
0, 27, 1
0, 28, 1
0, 29, 1
0, 30, 1
0, 31, 1
0, 32, 1
0, 33, 1
0, 34, 1
0, 35, 1
0, 36, 1
0, 37, 1
0, 38, 1
0, 39, 1
0, 40, 1
1, 0, 2
1, 1, 2
1, 2, 2
1, 3, 2
1, 4, 2
1, 5, 2
1, 6, 2
1, 7, 2
1, 8, 2
1, 9, 2
1, 10, 2
1, 11, 2
1, 12, 2
1, 13, 2
1, 14, 2
1, 15, 2
1, 16, 2
1, 17, 2
1, 18, 2
1, 19, 2
1, 20, 2
1, 21, 2
1, 22, 2
1, 23, 2
1, 24, 2
1, 25, 2
1, 26, 2
1, 27, 2
1, 28, 2
1, 29, 2
1, 30, 2
1, 31, 2
1, 32, 2
1, 33, 2
1, 34, 2
1, 35, 2
1, 36, 2
1, 37, 2
1, 38, 2
1, 39, 2
1, 40, 2
2, 0, 3
2, 1, 3
2, 2, 3
2, 3, 3
2, 4, 1
2, 5, 1
2, 6, 1
2, 7, 3
2, 8, 3
2, 9, 3
2, 10, 3
2, 11, 1
2, 12, 1
2, 13, 1
2, 14, 1
2, 15, 1
2, 16, 1
2, 17, 1
2, 18, 1
2, 19, 1
2, 20, 1
2, 21, 1
2, 22, 1
2, 23, 1
2, 24, 1
2, 25, 1
2, 26, 3
2, 27, 3
2, 28, 3
2, 29, 3
2, 30, 1
2, 31, 1
2, 32, 1
2, 33, 1
2, 34, 3
2, 35, 1
2, 36, 1
2, 37, 1
2, 38, 1
2, 39, 1
2, 40, 1
3, 0, 3
3, 1, 3
3, 2, 3
3, 3, 3
